filename,L,a,b
"1","88.5","13.88","17.07"
"1","88.5","13.87","16.98"
"1","82.85","13.5","17.19"
"2","84.13","13.73","18.79"
"2","83.18","13.3","16.99"
"2","87.11","13.7","17.24"
"3","88.58","13.76","17.41"
"3","85.3","13.6","18.58"
"3","88.28","14.26","18.43"
"4","71.23","18.75","20.67"
"4","71.08","19.04","20.21"
"4","68.44","19.73","20.58"
"5","70.37","19.27","21.23"
"5","64.91","18.52","17.16"
"5","67.84","20.2","19.43"
"6","76.09","15.72","18.89"
"6","73.49","15.86","18.88"
"6","78.01","15.15","18.38"
"7","83.52","14.53","19.3"
"7","83.47","13.77","19.02"
"7","83.57","13.51","18.34"
"8","84.07","14.31","18.22"
"8","76.71","15.59","17.17"
"8","80.09","13.11","15.09"
"9","62.64","22.51","21.5"
"9","59.95","23.48","23.26"
"9","61.07","22.64","21.05"
"10","58.37","20.41","19.03"
"10","58.45","21.11","21"
"10","58.81","21.51","18.58"
"11","73.02","16.94","19.63"
"11","76.75","14.81","19.77"
"11","76.07","17.24","21.4"
"12","75.2","13.02","17.13"
"12","74.18","13.26","17.65"
"12","77.97","12.85","17.43"
"13","81.18","13.61","1.6"
"13","84.17","14.46","18.9"
"13","76.06","12.81","18.51"
"14","63.41","15.68","18.96"
"14","65.27","15.36","19.06"
"14","64.53","15.46","18.92"
"15","71.45","18.45","21.15"
"15","70.7","20.44","21.41"
"15","65.28","21.71","22.21"
"16","71.04","19.44","22.29"
"16","79.31","17.79","23.25"
"16","77.78","21.05","24.46"
"17","78.08","20.65","29.64"
"17","83.06","17.17","23.43"
"17","75.68","16.74","20.35"
"18","84.4","17.87","18.28"
"18","77.5","19.18","22.71"
"18","76.83","18.23","23.91"
"19","87.76","16.66","23.84"
"19","85.61","15.06","18.22"
"19","85.91","14.72","19.04"
"20","83.76","13.47","18.02"
"20","83.69","12.91","17.45"
"20","78.64","12.71","17.09"
"21","59.87","22.73","20.19"
"21","66.1","22.6","20.25"
"21","57.86","24.6","22.65"
"22","62.89","24.79","23.38"
"22","74.13","19.74","21.07"
"22","70.38","22.06","22.17"
"23","66.07","19.24","18.71"
"23","65.84","19.6","19.17"
"23","65.69","20.33","21.42"
"24","73.87","18.36","17.29"
"24","65.17","18.88","18.68"
"24","63.12","20.116","19.86"
"25","66.27","20.26","19.67"
"25","63.29","22.01","20.84"
"25","60.33","21.73","19.61"
"26","62.71","17.77","18.48"
"26","63.27","21.46","21.53"
"26","70.28","18.58","18.21"
"27","65.87","23.52","20.28"
"27","71.32","21.78","21.61"
