filename,repeticao,L,a,b
"a1",3,88.5,13.88,17.07
"a1",3,88.5,13.87,16.98
"a1",3,82.85,13.5,17.19
"a2",3,84.13,13.73,18.79
"a2",3,83.18,13.3,16.99
"a2",3,87.11,13.7,17.24
"a3",3,88.58,13.76,17.41
"a3",3,85.3,13.6,18.58
"a3",3,88.28,14.26,18.43
"a4",3,71.23,18.75,20.67
"a4",3,71.08,19.04,20.21
"a4",3,68.44,19.73,20.58
"a5",3,70.37,19.27,21.23
"a5",3,64.91,18.52,17.16
"a5",3,67.84,20.2,19.43
"a6",3,76.09,15.72,18.89
"a6",3,73.49,15.86,18.88
"a6",3,78.01,15.15,18.38
"a7",3,83.52,14.53,19.3
"a7",3,83.47,13.77,19.02
"a7",3,83.57,13.51,18.34
"a8",3,84.07,14.31,18.22
"a8",3,76.71,15.59,17.17
"a8",3,80.09,13.11,15.09
"a9",3,62.64,22.51,21.5
"a9",3,59.95,23.48,23.26
"a9",3,61.07,22.64,21.05
"a10",3,58.37,20.41,19.03
"a10",3,58.45,21.11,21
"a10",3,58.81,21.51,18.58
"a11",3,73.02,16.94,19.63
"a11",3,76.75,14.81,19.77
"a11",3,76.07,17.24,21.4
"a12",3,75.2,13.02,17.13
"a12",3,74.18,13.26,17.65
"a12",3,77.97,12.85,17.43
"a13",3,81.18,13.61,1.6
"a13",3,84.17,14.46,18.9
"a13",3,76.06,12.81,18.51
"a14",3,63.41,15.68,18.96
"a14",3,65.27,15.36,19.06
"a14",3,64.53,15.46,18.92
"a15",3,71.45,18.45,21.15
"a15",3,70.7,20.44,21.41
"a15",3,65.28,21.71,22.21
"a16",3,71.04,19.44,22.29
"a16",3,79.31,17.79,23.25
"a16",3,77.78,21.05,24.46
"a17",3,78.08,20.65,29.64
"a17",3,83.06,17.17,23.43
"a17",3,75.68,16.74,20.35
"a18",3,84.4,17.87,18.28
"a18",3,77.5,19.18,22.71
"a18",3,76.83,18.23,23.91
"a19",3,87.76,16.66,23.84
"a19",3,85.61,15.06,18.22
"a19",3,85.91,14.72,19.04
"a20",3,83.76,13.47,18.02
"a20",3,83.69,12.91,17.45
"a20",3,78.64,12.71,17.09
"a21",3,59.87,22.73,20.19
"a21",3,66.1,22.6,20.25
"a21",3,57.86,24.6,22.65
"a22",3,62.89,24.79,23.38
"a22",3,74.13,19.74,21.07
"a22",3,70.38,22.06,22.17
"a23",3,66.07,19.24,18.71
"a23",3,65.84,19.6,19.17
"a23",3,65.69,20.33,21.42
"a24",3,73.87,18.36,17.29
"a24",3,65.17,18.88,18.68
"a24",3,63.12,20.116,19.86
"a25",3,66.27,20.26,19.67
"a25",3,63.29,22.01,20.84
"a25",3,60.33,21.73,19.61
"a26",3,62.71,17.77,18.48
"a26",3,63.27,21.46,21.53
"a26",3,70.28,18.58,18.21
"a27",3,65.87,23.52,20.28
"a27",3,71.32,21.78,21.61
"a27",3,71.21,23.64,21.57
"a28",3,80.37,13.65,17.93
"a28",3,82.52,13.76,18.34
"a28",3,82.59,14.06,18.71
"a29",3,79.4,12.93,18.45
"a29",3,82.48,13.36,18.19
"a29",3,81.77,14.2,17.85
"a30",3,57.29,18.24,14.52
"a30",3,55.57,18.31,15.15
"a30",3,58,18.17,15.7
"a31",3,69.9,19.77,18.47
"a31",3,74.61,18.89,18.23
"a31",3,69.81,18.48,15.09
"a32",3,65.33,17.61,14.89
"a32",3,66.45,18.25,16.05
"a32",3,65.05,17.65,15.54
"a33",3,58.98,19.83,18.67
"a33",3,58.53,20.72,21.99
"a33",3,57.61,20.09,19.99
"a34",3,57.99,19.38,19.63
"a34",3,59.59,21.13,20.35
"a34",3,58,19.43,19.03
"a35",3,82.19,14.79,25.73
"a35",3,87.83,14.64,20.9
"a35",3,89.49,14.09,18.77
"a36",3,71.26,17.77,13.38
"a36",3,71.64,18.35,14.21
"a36",3,77.42,17.97,14.81
"a37",3,74.67,20.08,16.56
"a37",3,75.35,20.3,18.77
"a37",3,74.25,21.42,17.35
"a38",3,71.04,20.81,18.52
"a38",3,75.36,22.62,18.36
"a38",3,73.49,21.85,20.8
"a39",3,76.96,17.33,12.62
"a39",3,75.93,17.37,12.96
"a39",3,78.14,18.79,15.03
"a40",3,46.23,18.53,12.94
"a40",3,46.59,18.61,12.83
"a40",3,46.39,18.39,12.33
"a41",3,70.11,17.18,16.19
"a41",3,73.57,17.51,13.73
"a41",3,70.45,18.24,14.88
"a42",3,72.86,21.21,18.64
"a42",3,75.92,19.57,17.47
"a42",3,77.83,18.85,15.95
"a43",3,68.57,18.2,11.17
"a43",3,69.91,18.62,11.43
"a43",3,67.68,18.05,12.39
"a44",3,73.46,15.77,10.56
"a44",3,72.15,16.21,11.13
"a44",3,70.79,15.41,9.77
"a45",3,56.72,18.24,17.94
"a45",3,57.24,18.42,17.94
"a45",3,56.01,18.21,17.36
"a46",3,69.84,15.64,14.17
"a46",3,70.72,15.8,14.51
"a46",3,70.2,15.77,14.41
"a47",3,71.19,18.3,13.34
"a47",3,71.38,18.86,13.69
"a47",3,74.38,19.22,13.75
"a48",3,64.14,19.95,13.89
"a48",3,62.53,20.7,12.34
"a48",3,67.89,20.68,15.77
"a49",3,65.99,18.26,15.07
"a49",3,69.58,20.46,16.35
"a49",3,67.79,22.18,18.97
"a50",3,83.1,14.56,18.64
"a50",3,84.83,15.37,18.63
"a50",3,86.49,15.56,18.91
"a51",3,62.43,27.75,20.92
"a51",3,63.77,28.75,21.94
"a51",3,64.59,22.59,20.24
"a52",3,54.94,23.08,17.68
"a52",3,54.67,23.43,17.85
"a52",3,54.8,22.48,16.93
"a53",3,55.43,23.86,18.87
"a53",3,59.68,23.01,19.31
"a53",3,61.42,24.26,19.28
"a54",3,56.13,22.34,17.72
"a54",3,54.64,22.19,17.44
"a54",3,57.33,23.08,18.03
"a55",3,65.67,23,20.45
"a55",3,63.65,23.62,21.64
"a55",3,57.25,25.47,20.03
"a56",3,83.4,14.68,21.44
"a56",3,85.34,14.31,18.22
"a56",3,81.87,14.25,17.89
"a57",3,83.61,12.52,17.57
"a57",3,84.52,12.46,17.78
"a57",3,88.07,12.84,18.02
"a58",3,86.38,14.27,16.88
"a58",3,85.71,16.18,19.79
"a58",3,89.22,13.94,16.39
"a59",3,53.36,19.54,18.56
"a59",3,49,17.68,16.94
"a59",3,48.46,19.29,16.82
"a60",3,50.89,23.25,19.85
"a60",3,50.67,23.37,19.83
"a60",3,50.11,23.53,19.64
"a61",3,71.65,19.09,17.68
"a61",3,75.55,19.9,18.92
"a61",3,72.55,19.76,18.14
"a62",3,64.35,21.92,21.69
"a62",3,68.09,25.03,24.15
"a62",3,68.06,25.31,24.62
"a63",3,69.56,24.59,24.4
"a63",3,67.36,26.2,26.5
"a63",3,68.54,23.68,18.32
"a64",3,81.03,15.47,19.8
"a64",3,85.28,16.73,20.96
"a64",3,81.08,15.64,19.69
"a65",3,80.94,17.5,22.58
"a65",3,83.84,20.63,22.58
"a65",3,83.6,21.03,22.58
"a66",3,83.01,19.04,21.79
"a66",3,82.87,19.16,20.79
"a66",3,78.1,18.58,20.14
