id,attribute,original,prediction,difference
a1,L,86.61666666666667,13.406567,73.21010004679363
a10,L,58.54333333333333,-5.56253,64.10586337407429
a100,L,85.99,14.37161,71.61839031219482
a11,L,75.27999999999999,5.075198,70.20480182647704
a12,L,75.78333333333333,10.948802,64.8345313390096
a13,L,80.47000000000001,-1.1574008,81.62740084648134
a14,L,64.40333333333334,11.988986,52.41434731801351
a15,L,69.14333333333333,0.8380742,68.30525912602742
a16,L,76.04333333333334,-4.9934945,81.03682784398397
a17,L,78.94,1.9532692,76.98673075675964
a18,L,79.57666666666667,1.8226377,77.75402898947398
a19,L,86.42666666666666,15.326884,71.0997823969523
a2,L,84.80666666666667,12.756394,72.05027228037517
a20,L,82.02999999999999,14.21405,67.81594970703124
a21,L,61.276666666666664,-7.871208,69.14787485758464
a22,L,69.13333333333333,4.805995,64.32733834584553
a23,L,65.86666666666666,-2.2561998,68.12286650339762
a24,L,67.38666666666667,-3.6960378,71.0827044359843
a25,L,63.29666666666666,-6.4097257,69.7063923327128
a26,L,65.42,-3.3862326,68.80623261451721
a27,L,69.46666666666665,-6.7324057,76.19907232920328
a28,L,81.82666666666667,13.918673,67.90799410502116
a29,L,81.21666666666665,13.278991,67.93767592112222
a3,L,87.38666666666666,14.956964,72.42970312754312
a30,L,56.95333333333334,-3.8827658,60.836099103291836
a31,L,71.44,1.7427659,69.6972340965271
a32,L,65.61,-1.7729584,67.3829583978653
a33,L,58.373333333333335,-6.78605,65.15938317616781
a34,L,58.52666666666667,-6.788377,65.31504347483317
a35,L,86.50333333333333,6.8409367,79.66239667256673
a36,L,73.44,4.8740654,68.56593460083008
a37,L,74.75666666666666,2.1092763,72.64739037195841
a38,L,73.29666666666667,-0.0630056,73.35967226306597
a39,L,77.00999999999999,8.980333,68.02966667175292
a4,L,70.25,11.080183,59.169816970825195
a40,L,46.40333333333333,-7.497113,53.90044656117757
a41,L,71.37666666666667,5.1909623,66.18570435206095
a42,L,75.53666666666668,0.009710401,75.52695626537006
a43,L,68.72,2.89474,65.8252598953247
a44,L,72.13333333333334,12.783823,59.349510320027676
a45,L,56.656666666666666,-5.9679384,62.624605089823405
a46,L,70.25333333333333,5.732864,64.52046943028768
a47,L,72.31666666666666,2.4804845,69.83618218104044
a48,L,64.85333333333334,0.4189383,64.4343950243791
a49,L,67.78666666666668,0.62281126,67.16385540882747
a5,L,67.70666666666666,-2.7603643,70.46703096071879
a50,L,84.80666666666667,15.151194,69.65547304789226
a51,L,63.59666666666667,-8.130179,71.72684607187907
a52,L,54.803333333333335,-8.774178,63.577510884602866
a53,L,58.843333333333334,-6.2563047,65.0996380742391
a54,L,56.03333333333334,-7.506328,63.53966143925985
a55,L,62.19,-8.888194,71.07819408416748
a56,L,83.53666666666668,10.927541,72.6091258875529
a57,L,85.39999999999999,11.89754,73.50245990753173
a58,L,87.10333333333331,9.944037,77.15929589589435
a59,L,50.27333333333333,-5.7602944,56.03362777074178
a6,L,75.86333333333333,-3.1950696,79.05840288480123
a60,L,50.55666666666667,-4.8830595,55.43972616831462
a61,L,73.25,2.5985224,70.65147757530212
a62,L,66.83333333333333,-8.072379,74.90571244557698
a63,L,68.48666666666668,-8.570601,77.05726812998455
a64,L,82.46333333333332,13.472464,68.99086972554524
a65,L,82.79333333333334,5.462581,77.33075217564901
a66,L,81.32666666666667,3.2814906,78.04517610232035
a67,L,81.37,5.9159155,75.45408451080323
a68,L,77.96,8.278257,69.68174263000488
a69,L,56.453333333333326,-8.019502,64.47283501942951
a7,L,83.52,7.4489756,76.07102443695068
a70,L,68.24666666666666,-5.902034,74.14870047251382
a71,L,62.300000000000004,-8.955591,71.25559120178224
